"","Spell","Rune"
"5827","Creeping Death","Passive"
"5828","Pierce the Veil","Passive"
"5829","Grave Injustice","Passive"
"5830","Spirit Vessel","Passive"
"5831","Haunt","Resentful Spirits"
"5832","Piranhas","Piranhado"
"5833","Soul Harvest","Siphon"
"5834","Locust Swarm","Pestilence"
"5835","Horrify","Frightening Aspect"
"5836","Spirit Walk","Jaunt"
"5837","Pierce the Veil","Passive"
"5838","Spirit Vessel","Passive"
"5839","Creeping Death","Passive"
"5840","Grave Injustice","Passive"
"5841","Haunt","Resentful Spirits"
"5842","Locust Swarm","Pestilence"
"5843","Spirit Walk","Jaunt"
"5844","Piranhas","Piranhado"
"5845","Soul Harvest","Siphon"
"5846","Horrify","Stalker"
"5847","Creeping Death","Passive"
"5848","Gruesome Feast","Passive"
"5849","Grave Injustice","Passive"
"5850","Spirit Vessel","Passive"
"5851","Summon Zombie Dogs","Leeching Beasts"
"5852","Gargantuan","Restless Giant"
"5853","Spirit Walk","Jaunt"
"5854","Piranhas","Wave of Mutilation"
"5855","Fetish Army","Legion of Daggers"
"5856","Big Bad Voodoo","Slam Dance"
"5857","Grave Injustice","Passive"
"5858","Midnight Feast","Passive"
"5859","Pierce the Veil","Passive"
"5860","Fierce Loyalty","Passive"
"5861","Haunt","Resentful Spirits"
"5862","Piranhas","Piranhado"
"5863","Spirit Walk","Jaunt"
"5864","Soul Harvest","Vengeful Spirit"
"5865","Horrify","Face of Death"
"5866","Locust Swarm","Pestilence"
"5867","Creeping Death","Passive"
"5868","Gruesome Feast","Passive"
"5869","Spirit Vessel","Passive"
"5870","Grave Injustice","Passive"
"5871","Haunt","Resentful Spirits"
"5872","Locust Swarm","Pestilence"
"5873","Horrify","Frightening Aspect"
"5874","Piranhas","Piranhado"
"5875","Spirit Walk","Jaunt"
"5876","Soul Harvest","Siphon"
"5877","Spirit Vessel","Passive"
"5878","Grave Injustice","Passive"
"5879","Pierce the Veil","Passive"
"5880","Creeping Death","Passive"
"5881","Plague of Toads","Rain of Toads"
"5882","Piranhas","Piranhado"
"5883","Spirit Walk","Jaunt"
"5884","Summon Zombie Dogs","Leeching Beasts"
"5885","Fetish Army","Legion of Daggers"
"5886","Big Bad Voodoo","Slam Dance"
"5887","Fetish Sycophants","Passive"
"5888","Jungle Fortitude","Passive"
"5889","Midnight Feast","Passive"
"5890","Pierce the Veil","Passive"
"5891","Plague of Toads","Rain of Toads"
"5892","Piranhas","Piranhado"
"5893","Spirit Walk","Jaunt"
"5894","Mass Confusion","Unstable Realm"
"5895","Gargantuan","Wrathful Protector"
"5896","Summon Zombie Dogs","Rabid Dogs"
"5897","Tribal Rites","Passive"
"5898","Grave Injustice","Passive"
"5899","Fetish Sycophants","Passive"
"5900","Gruesome Feast","Passive"
"5901","Plague of Toads","Rain of Toads"
