"","Spell","Rune"
"1179","Superstition","Passive"
"1180","Berserker Rage","Passive"
"1181","Frenzy","Maniac"
"1182","Ignore Pain","Iron Hide"
"1183","Furious Charge","Battering Ram"
"1184","Battle Rage","Bloodshed"
"1185","War Cry","Impunity"
"1186","Wrath of the Berserker","Insanity"
"1187","Superstition","Passive"
"1188","Berserker Rage","Passive"
"1189","Nerves of Steel","Passive"
"1190","Boon of Bul-Kathos","Passive"
"1191","Whirlwind","Wind Shear"
"1192","Furious Charge","Dreadnought"
"1193","Battle Rage","Bloodshed"
"1194","War Cry","Impunity"
"1195","Ground Stomp","Wrenching Smash"
"1196","Call of the Ancients","Together as One"
"1197","Berserker Rage","Passive"
"1198","Superstition","Passive"
"1199","Tough as Nails","Passive"
"1200","Juggernaut","Passive"
"1201","Frenzy","Maniac"
"1202","Furious Charge","Battering Ram"
"1203","Wrath of the Berserker","Insanity"
"1204","Ignore Pain","Iron Hide"
"1205","Battle Rage","Bloodshed"
"1206","War Cry","Impunity"
"1207","Ruthless","Passive"
"1208","Superstition","Passive"
"1209","Boon of Bul-Kathos","Passive"
"1210","Berserker Rage","Passive"
"1211","Frenzy","Maniac"
"1212","Furious Charge","Merciless Assault"
"1213","Leap","Death from Above"
"1214","Battle Rage","Marauder's Rage"
"1215","War Cry","Invigorate"
"1216","Wrath of the Berserker","Insanity"
"1217","Relentless","Passive"
"1218","Superstition","Passive"
"1219","Berserker Rage","Passive"
"1220","Boon of Bul-Kathos","Passive"
"1221","Rend","Lacerate"
"1222","Furious Charge","Dreadnought"
"1223","War Cry","Impunity"
"1224","Sprint","Marathon"
"1225","Call of the Ancients","Together as One"
"1226","Wrath of the Berserker","Insanity"
"1227","Rampage","Passive"
"1228","Berserker Rage","Passive"
"1229","Ruthless","Passive"
"1230","Brawler","Passive"
"1231","Frenzy","Maniac"
"1232","Furious Charge","Merciless Assault"
"1233","War Cry","Impunity"
"1234","Wrath of the Berserker","Insanity"
"1235","Battle Rage","Bloodshed"
"1236","Call of the Ancients","Together as One"
"1237","Superstition","Passive"
"1238","Boon of Bul-Kathos","Passive"
"1239","Berserker Rage","Passive"
"1240","Nerves of Steel","Passive"
"1241","Furious Charge","Dreadnought"
"1242","Frenzy","Maniac"
"1243","Call of the Ancients","Together as One"
"1244","War Cry","Impunity"
"1245","Battle Rage","Marauder's Rage"
"1246","Wrath of the Berserker","Insanity"
"1247","Tough as Nails","Passive"
"1248","Berserker Rage","Passive"
"1249","Nerves of Steel","Passive"
"1250","Superstition","Passive"
"1251",NA,NA
"1252",NA,NA
"1253",NA,NA
"1254",NA,NA
"1255",NA,NA
"1256",NA,NA
"1257",NA,NA
"1258",NA,NA
"1259",NA,NA
"1260",NA,NA
"1261","Frenzy","Maniac"
"1262","Furious Charge","Battering Ram"
"1263","Call of the Ancients","Together as One"
"1264","Battle Rage","Bloodshed"
"1265","Ignore Pain","Iron Hide"
"1266","Wrath of the Berserker","Striding Giant"
"1267","Brawler","Passive"
"1268","Superstition","Passive"
"1269","Berserker Rage","Passive"
"1270","Boon of Bul-Kathos","Passive"
"1271","Frenzy","Maniac"
"1272","Furious Charge","Battering Ram"
"1273","Wrath of the Berserker","Striding Giant"
"1274","Sprint","Run Like the Wind"
"1275","War Cry","Impunity"
"1276","Call of the Ancients","Together as One"
"1277","Boon of Bul-Kathos","Passive"
"1278","Rampage","Passive"
"1279","Berserker Rage","Passive"
"1280","Tough as Nails","Passive"
"1281","Frenzy","Maniac"
"1282","Furious Charge","Battering Ram"
"1283","War Cry","Invigorate"
"1284","Ignore Pain","Iron Hide"
"1285","Call of the Ancients","The Council Rises"
"1286","Wrath of the Berserker","Striding Giant"
"1287","Inspiring Presence","Passive"
"1288","Superstition","Passive"
"1289","Relentless","Passive"
"1290","Boon of Bul-Kathos","Passive"
"1291","Call of the Ancients","Together as One"
"1292","Battle Rage","Bloodshed"
"1293","Sprint","Marathon"
"1294","War Cry","Impunity"
"1295","Furious Charge","Dreadnought"
"1296","Wrath of the Berserker","Insanity"
"1297","Ruthless","Passive"
"1298","Berserker Rage","Passive"
"1299","Rampage","Passive"
"1300","Boon of Bul-Kathos","Passive"
"1301","Frenzy","Maniac"
"1302","Furious Charge","Battering Ram"
"1303","Call of the Ancients","Together as One"
"1304","Wrath of the Berserker","Insanity"
"1305","War Cry","Impunity"
"1306","Battle Rage","Bloodshed"
"1307","Berserker Rage","Passive"
"1308","Inspiring Presence","Passive"
"1309","Superstition","Passive"
"1310","Relentless","Passive"
"1311","Call of the Ancients","Ancients' Fury"
"1312","Whirlwind","Dust Devils"
"1313","Sprint","Run Like the Wind"
"1314","Overpower","Killing Spree"
"1315","Battle Rage","Marauder's Rage"
"1316","War Cry","Impunity"
"1317","Rampage","Passive"
"1318","Superstition","Passive"
"1319","Relentless","Passive"
"1320","Bloodthirst","Passive"
"1321","Furious Charge","Cold Rush"
