"","Spell","Rune"
"1444","Big Bad Voodoo","Slam Dance"
"1445","Haunt","Poisoned Spirit"
"1446","Fetish Army","Legion of Daggers"
"1447","Pierce the Veil","Passive"
"1448","Gruesome Feast","Passive"
"1449","Fetish Sycophants","Passive"
"1450","Midnight Feast","Passive"
"1451","Haunt","Poisoned Spirit"
"1452","Locust Swarm","Pestilence"
"1453","Spirit Walk","Jaunt"
"1454","Piranhas","Piranhado"
"1455","Soul Harvest","Siphon"
"1456","Horrify","Ruthless Terror"
"1457","Gruesome Feast","Passive"
"1458","Pierce the Veil","Passive"
"1459","Creeping Death","Passive"
"1460","Grave Injustice","Passive"
"1461","Locust Swarm","Pestilence"
"1462","Haunt","Resentful Spirits"
"1463","Piranhas","Piranhado"
"1464","Spirit Walk","Jaunt"
"1465","Soul Harvest","Siphon"
"1466","Horrify","Face of Death"
"1467","Spirit Vessel","Passive"
"1468","Pierce the Veil","Passive"
"1469","Creeping Death","Passive"
"1470","Grave Injustice","Passive"
"1471","Haunt","Poisoned Spirit"
"1472","Spirit Walk","Jaunt"
"1473","Horrify","Frightening Aspect"
"1474","Locust Swarm","Pestilence"
"1475","Soul Harvest","Vengeful Spirit"
"1476","Piranhas","Piranhado"
"1477","Creeping Death","Passive"
"1478","Spirit Vessel","Passive"
"1479","Grave Injustice","Passive"
"1480","Gruesome Feast","Passive"
"1481","Haunt","Poisoned Spirit"
"1482","Piranhas","Piranhado"
"1483","Spirit Walk","Jaunt"
"1484","Horrify","Stalker"
"1485","Soul Harvest","Siphon"
"1486","Locust Swarm","Pestilence"
"1487","Creeping Death","Passive"
"1488","Pierce the Veil","Passive"
"1489","Spirit Vessel","Passive"
"1490","Grave Injustice","Passive"
"1491","Plague of Toads","Rain of Toads"
"1492","Horrify","Face of Death"
"1493","Spirit Walk","Jaunt"
"1494","Fetish Army","Legion of Daggers"
"1495","Sacrifice","Provoke the Pack"
"1496","Big Bad Voodoo","Slam Dance"
"1497","Spirit Vessel","Passive"
"1498","Pierce the Veil","Passive"
"1499","Fetish Sycophants","Passive"
"1500","Gruesome Feast","Passive"
"1501","Plague of Toads","Rain of Toads"
"1502","Fetish Army","Legion of Daggers"
"1503","Spirit Walk","Jaunt"
"1504","Sacrifice","Provoke the Pack"
"1505","Big Bad Voodoo","Slam Dance"
"1506","Horrify","Frightening Aspect"
"1507","Fierce Loyalty","Passive"
"1508","Spirit Vessel","Passive"
"1509","Gruesome Feast","Passive"
"1510","Pierce the Veil","Passive"
"1511","Haunt","Poisoned Spirit"
"1512","Locust Swarm","Pestilence"
"1513","Soul Harvest","Siphon"
"1514","Spirit Walk","Jaunt"
"1515","Piranhas","Piranhado"
"1516","Horrify","Frightening Aspect"
"1517","Spirit Vessel","Passive"
"1518","Gruesome Feast","Passive"
"1519","Pierce the Veil","Passive"
"1520","Grave Injustice","Passive"
"1521","Big Bad Voodoo","Slam Dance"
"1522","Sacrifice","Provoke the Pack"
"1523","Fetish Army","Legion of Daggers"
"1524","Horrify","Face of Death"
"1525","Plague of Toads","Rain of Toads"
"1526","Haunt","Poisoned Spirit"
"1527","Fetish Sycophants","Passive"
"1528","Gruesome Feast","Passive"
"1529","Spirit Vessel","Passive"
"1530","Pierce the Veil","Passive"
"1531","Haunt","Resentful Spirits"
"1532","Piranhas","Piranhado"
"1533","Locust Swarm","Pestilence"
"1534","Soul Harvest","Siphon"
"1535","Spirit Walk","Jaunt"
"1536","Horrify","Stalker"
"1537","Grave Injustice","Passive"
"1538","Creeping Death","Passive"
"1539","Gruesome Feast","Passive"
"1540","Spirit Vessel","Passive"
"1541","Plague of Toads","Addling Toads"
"1542","Soul Harvest","Siphon"
"1543","Big Bad Voodoo","Slam Dance"
"1544","Fetish Army","Legion of Daggers"
"1545","Horrify","Frightening Aspect"
"1546","Spirit Walk","Jaunt"
"1547","Grave Injustice","Passive"
"1548","Gruesome Feast","Passive"
"1549","Pierce the Veil","Passive"
"1550","Fetish Sycophants","Passive"
"1551","Haunt","Resentful Spirits"
"1552","Locust Swarm","Pestilence"
"1553","Spirit Walk","Jaunt"
"1554","Soul Harvest","Swallow Your Soul"
"1555","Horrify","Face of Death"
"1556","Piranhas","Piranhado"
"1557","Spirit Vessel","Passive"
"1558","Pierce the Veil","Passive"
"1559","Grave Injustice","Passive"
"1560","Creeping Death","Passive"
"1561","Plague of Toads","Rain of Toads"
"1562","Piranhas","Piranhado"
"1563","Fetish Army","Legion of Daggers"
"1564","Summon Zombie Dogs","Life Link"
"1565","Spirit Walk","Jaunt"
"1566","Big Bad Voodoo","Slam Dance"
"1567","Fierce Loyalty","Passive"
"1568","Grave Injustice","Passive"
"1569","Spirit Vessel","Passive"
"1570","Pierce the Veil","Passive"
"1571","Locust Swarm","Pestilence"
"1572","Haunt","Resentful Spirits"
"1573","Horrify","Stalker"
"1574","Soul Harvest","Siphon"
"1575","Piranhas","Piranhado"
"1576","Spirit Walk","Jaunt"
"1577","Grave Injustice","Passive"
"1578","Creeping Death","Passive"
"1579","Spirit Vessel","Passive"
"1580","Pierce the Veil","Passive"
"1581","Plague of Toads","Rain of Toads"
"1582","Big Bad Voodoo","Slam Dance"
"1583","Fetish Army","Legion of Daggers"
"1584","Spirit Walk","Jaunt"
"1585","Horrify","Face of Death"
"1586","Sacrifice","Provoke the Pack"
"1587","Spirit Vessel","Passive"
"1588","Pierce the Veil","Passive"
"1589","Gruesome Feast","Passive"
"1590","Fetish Sycophants","Passive"
"1591","Poison Dart","Splinters"
"1592","Acid Cloud","Slow Burn"
"1593","Big Bad Voodoo","Slam Dance"
"1594","Fetish Army","Fetish Ambush"
"1595","Soul Harvest","Languish"
"1596","Spirit Walk","Jaunt"
"1597","Fetish Sycophants","Passive"
"1598","Blood Ritual","Passive"
"1599","Gruesome Feast","Passive"
"1600","Grave Injustice","Passive"
"1601","Haunt","Poisoned Spirit"
"1602","Spirit Walk","Jaunt"
"1603","Horrify","Face of Death"
"1604","Fetish Army","Head Hunters"
"1605","Piranhas","Piranhado"
"1606","Big Bad Voodoo","Slam Dance"
"1607","Spirit Vessel","Passive"
"1608","Zombie Handler","Passive"
"1609","Jungle Fortitude","Passive"
"1610","Tribal Rites","Passive"
"1611","Sacrifice","Black Blood"
"1612","Big Bad Voodoo","Slam Dance"
"1613","Summon Zombie Dogs","Final Gift"
"1614","Fetish Army","Legion of Daggers"
"1615","Spirit Walk","Jaunt"
"1616","Horrify","Face of Death"
"1617","Spirit Vessel","Passive"
"1618","Zombie Handler","Passive"
"1619","Tribal Rites","Passive"
"1620","Fierce Loyalty","Passive"
"1621","Locust Swarm","Pestilence"
"1622","Haunt","Poisoned Spirit"
"1623","Spirit Walk","Jaunt"
"1624","Soul Harvest","Siphon"
"1625","Piranhas","Piranhado"
"1626","Horrify","Stalker"
"1627","Pierce the Veil","Passive"
"1628","Grave Injustice","Passive"
"1629","Spirit Vessel","Passive"
"1630","Creeping Death","Passive"
"1631","Locust Swarm","Pestilence"
"1632","Piranhas","Piranhado"
"1633","Spirit Walk","Jaunt"
"1634","Haunt","Poisoned Spirit"
"1635","Soul Harvest","Siphon"
"1636","Horrify","Frightening Aspect"
"1637","Grave Injustice","Passive"
"1638","Spirit Vessel","Passive"
"1639","Creeping Death","Passive"
"1640","Pierce the Veil","Passive"
